Month,Day,Sunrise,Sunset
7,19,5:41:00 AM,8:08:00 PM
7,20,5:41:00 AM,8:08:00 PM
7,21,5:42:00 AM,8:07:00 PM
7,22,5:43:00 AM,8:06:00 PM
7,23,5:44:00 AM,8:06:00 PM
7,24,5:45:00 AM,8:05:00 PM
7,25,5:45:00 AM,8:04:00 PM
7,26,5:46:00 AM,8:03:00 PM
7,27,5:47:00 AM,8:02:00 PM
7,28,5:48:00 AM,8:02:00 PM
7,29,5:49:00 AM,8:01:00 PM
7,30,5:50:00 AM,8:00:00 PM
7,31,5:50:00 AM,7:59:00 PM
8,1,5:51:00 AM,7:58:00 PM
8,2,5:52:00 AM,7:57:00 PM
8,3,5:53:00 AM,7:56:00 PM
8,4,5:54:00 AM,7:55:00 PM
8,5,5:55:00 AM,7:54:00 PM
8,6,5:56:00 AM,7:53:00 PM
8,7,5:56:00 AM,7:51:00 PM
8,8,5:57:00 AM,7:50:00 PM
8,9,5:58:00 AM,7:49:00 PM
8,10,5:59:00 AM,7:48:00 PM
8,11,6:00:00 AM,7:47:00 PM
8,12,6:01:00 AM,7:46:00 PM
8,13,6:02:00 AM,7:44:00 PM
8,14,6:03:00 AM,7:43:00 PM
8,15,6:03:00 AM,7:42:00 PM
8,16,6:04:00 AM,7:41:00 PM
8,17,6:05:00 AM,7:39:00 PM
8,18,6:06:00 AM,7:38:00 PM
8,19,6:07:00 AM,7:37:00 PM
8,20,6:08:00 AM,7:35:00 PM
8,21,6:09:00 AM,7:34:00 PM
8,22,6:10:00 AM,7:32:00 PM
8,23,6:10:00 AM,7:31:00 PM
8,24,6:11:00 AM,7:30:00 PM
8,25,6:12:00 AM,7:28:00 PM
8,26,6:13:00 AM,7:27:00 PM
8,27,6:14:00 AM,7:25:00 PM
8,28,6:15:00 AM,7:24:00 PM
8,29,6:16:00 AM,7:22:00 PM
8,30,6:16:00 AM,7:21:00 PM
8,31,6:17:00 AM,7:20:00 PM
9,1,6:18:00 AM,7:18:00 PM
9,2,6:19:00 AM,7:17:00 PM
9,3,6:20:00 AM,7:15:00 PM
9,4,6:21:00 AM,7:14:00 PM
9,5,6:22:00 AM,7:12:00 PM
9,6,6:22:00 AM,7:10:00 PM
9,7,6:23:00 AM,7:09:00 PM
9,8,6:24:00 AM,7:07:00 PM
9,9,6:25:00 AM,7:06:00 PM
9,10,6:26:00 AM,7:04:00 PM
9,11,6:27:00 AM,7:03:00 PM
9,12,6:28:00 AM,7:01:00 PM
9,13,6:28:00 AM,7:00:00 PM
9,14,6:29:00 AM,6:58:00 PM
9,15,6:34:00 AM,6:56:00 PM
9,16,6:31:00 AM,6:55:00 PM
9,17,6:32:00 AM,6:53:00 PM
9,18,6:33:00 AM,6:52:00 PM
9,19,6:34:00 AM,6:50:00 PM
9,20,6:00:00 AM,6:49:00 PM
9,21,6:35:00 AM,6:47:00 PM
9,22,6:36:00 AM,6:45:00 PM
9,23,6:37:00 AM,6:44:00 PM
9,24,6:38:00 AM,6:42:00 PM
9,25,6:39:00 AM,6:41:00 PM
